Blocks	Classes	Features	FileName	Samples	Threads	constraint	dataSet	folds	gamma	log	maxIterations	precision	seed	step	stepMode	stochastic	svm	threadsPerBlock	Classify	Correct	Iterations	NegativeWrong	NullWrong	PercentCorrect	PositiveWrong	SupportVectors	Test	Train	main	
9	2	119	Data/adult1.data	1605	1152	100	a1	3	0.5	r	512	0.01	1460969003	1	s	f	p	128	0:0:0:0	430	6.33333	59	0	80.3738	46	1070	0:0:0:155	0:0:1:476	0:0:6:243	
0	2	119	Data/adult1.data	1605	0	100	a1	3	0.5	r	512	0.01	1460969009	1	s	f	s	128	0:0:0:0	429.333	6.66667	60	0	80.2492	45.6667	1070	0:0:0:204	0:0:2:462	0:0:9:355	
0	2	119	Data/adult1.data	1605	0	100	a1	3	0.5	r	512	0.01	1460969021	1	s	t	s	128	0:0:0:0	430.444	6.22222	70.2222	0	80.4569	34.3333	1070	0:0:0:221	0:0:2:523	0:0:9:612	
13	2	300	Data/web1.data	2477	1664	64	w1	3	7.8125	r	512	0.01	1460969032	1	s	f	p	128	0:0:0:0	503.833	6.41667	55.5	0	82.2636	48.3333	1193.75	0:0:0:297	0:0:3:465	0:0:12:871	
0	2	300	Data/web1.data	2477	0	64	w1	3	7.8125	r	512	0.01	1460969054	1	s	f	s	128	0:0:0:0	557.2	6.4	48.7333	0	84.4789	45.3333	1268.67	0:0:0:530	0:0:6:434	0:0:22:612	
0	2	300	Data/web1.data	2477	0	64	w1	3	7.8125	r	512	0.01	1460969116	1	s	t	s	128	0:0:0:0	598.056	5.55556	44.3889	0	86.5947	37.8889	1332.44	0:0:0:687	0:0:6:1	0:0:21:880	
9	2	119	Data/adult1.data	1605	1152	100	a1	3	0.5	r	512	0.01	1460969134	1	m	f	p	128	0:0:0:0	574.19	5.7619	46.7143	0	85.7327	38.6667	1294.95	0:0:0:610	0:0:5:375	0:0:19:709	
0	2	119	Data/adult1.data	1605	0	100	a1	3	0.5	r	512	0.01	1460969141	1	m	f	s	128	0:0:0:0	555.792	5.875	49.2083	0	84.9928	39	1266.83	0:0:0:566	0:0:5:114	0:0:18:745	
0	2	119	Data/adult1.data	1605	0	100	a1	3	0.5	r	512	0.01	1460969153	1	m	t	s	128	0:0:0:0	541.704	5.81481	54.0741	0	84.4588	36.1111	1244.96	0:0:0:532	0:0:4:837	0:0:17:771	
9	2	119	Data/adult1.data	1605	1152	100	a1	3	0.5	r	512	0.01	1460969697	1	s	f	p	128	0:0:0:0	426.333	7	59.6667	0	79.6885	49	1070	0:0:0:158	0:0:1:618	0:0:6:774	
